episode,reward,avg_reward_100,avg_loss_100,avg_q_100,epsilon
1,45.0,45.0,0.0569,-0.0692,0.9988
2,5.0,25.0,0.059,-0.0942,0.9984
3,-5.0,15.0,0.0672,-0.0953,0.998
4,5.0,12.5,0.0631,-0.0975,0.9975
5,5.0,11.0,0.0567,-0.0948,0.9971
6,5.0,10.0,0.0839,-0.0987,0.9967
7,5.0,9.29,0.0863,-0.0823,0.9962
8,15.0,10.0,0.092,-0.0967,0.9957
9,15.0,10.56,0.064,-0.0389,0.995
10,15.0,11.0,0.0824,-0.1242,0.9943
11,85.0,17.73,0.0684,-0.0924,0.9933
12,5.0,16.67,0.0509,-0.0637,0.9929
13,-5.0,15.0,0.0796,-0.0896,0.9925
14,25.0,15.71,0.076,-0.0218,0.992
15,15.0,15.67,0.0782,-0.111,0.9914
16,25.0,16.25,0.0956,-0.0707,0.9907
17,15.0,16.18,0.0665,-0.0295,0.9901
18,85.0,20.0,0.1035,-0.0373,0.9893
19,-5.0,18.68,0.0951,-0.0326,0.9888
20,35.0,19.5,0.0719,-0.035,0.988
