episode,reward,avg_reward_100,avg_loss_100,avg_q_100,epsilon
1,5.0,5.0,0.0,0.0,0.9997
2,5.0,5.0,0.0,0.0,0.9994
3,25.0,11.67,0.096,0.1345,0.9987
4,5.0,10.0,0.1233,0.1303,0.9984
5,5.0,9.0,0.0984,0.1292,0.998
6,15.0,10.0,0.0911,0.1309,0.9977
7,5.0,9.29,0.0997,0.13,0.9974
8,5.0,8.75,0.1074,0.1321,0.997
9,45.0,12.78,0.0791,0.1297,0.996
10,5.0,12.0,0.0985,0.1338,0.9957
11,55.0,15.91,0.063,0.1272,0.9953
12,-5.0,14.17,0.0853,0.1309,0.995
13,5.0,13.46,0.1188,0.1308,0.9945
14,5.0,12.86,0.1116,0.1311,0.9942
15,5.0,12.33,0.073,0.1251,0.9937
16,-15.0,10.62,0.1143,0.1291,0.9934
17,5.0,10.29,0.0803,0.1244,0.9931
18,5.0,10.0,0.117,0.127,0.9927
19,5.0,9.74,0.1145,0.133,0.9921
20,5.0,9.5,0.0775,0.1296,0.9917
21,25.0,10.24,0.0934,0.1261,0.9911
22,-15.0,9.09,0.1083,0.1308,0.9908
23,15.0,9.35,0.0614,0.1291,0.9904
24,5.0,9.17,0.0802,0.1363,0.99
