episode,reward,avg_reward_100,avg_loss_100,avg_q_100,epsilon
1,45.0,45.0,0.0558,-0.0404,0.9988
2,5.0,25.0,0.0592,-0.0088,0.9984
3,-5.0,15.0,0.0671,-0.0515,0.998
4,5.0,12.5,0.0629,-0.0367,0.9975
5,5.0,11.0,0.0569,-0.0433,0.9971
6,5.0,10.0,0.0852,-0.0207,0.9967
7,5.0,9.29,0.0854,-0.0524,0.9962
8,5.0,8.75,0.0805,-0.0264,0.9955
9,5.0,8.33,0.0656,-0.0347,0.9952
10,25.0,10.0,0.0785,-0.0221,0.9945
11,35.0,12.27,0.0598,-0.0515,0.9936
12,5.0,11.67,0.0661,-0.0235,0.9932
13,5.0,11.15,0.0732,0.0472,0.9928
14,5.0,10.71,0.05,-0.03,0.9924
15,-5.0,9.67,0.0761,0.0029,0.992
16,-15.0,8.12,0.0652,-0.0312,0.9916
17,-5.0,7.35,0.0561,-0.0194,0.9912
18,15.0,7.78,0.0825,0.0132,0.9907
19,15.0,8.16,0.0475,-0.0468,0.99
20,65.0,11.0,0.0715,-0.0481,0.9895
21,-5.0,10.24,0.0797,-0.0479,0.9891
22,15.0,10.45,0.051,-0.0452,0.9886
23,-5.0,9.78,0.0929,-0.0483,0.9882
24,5.0,9.58,0.0759,-0.0468,0.9876
25,5.0,9.4,0.071,-0.0501,0.9873
26,15.0,9.62,0.0728,-0.045,0.9869
27,15.0,9.81,0.0831,-0.0436,0.9862
28,5.0,9.64,0.0552,-0.0501,0.9859
29,15.0,9.83,0.0747,-0.0432,0.9853
30,5.0,9.67,0.0868,-0.0469,0.9849
31,5.0,9.52,0.0765,-0.0506,0.9845
32,5.0,9.38,0.0812,-0.0445,0.9842
33,15.0,9.55,0.0618,-0.0486,0.9834
34,25.0,10.0,0.0598,-0.0566,0.9828
35,-5.0,9.57,0.0762,-0.0494,0.9824
36,5.0,9.44,0.0694,-0.0496,0.9818
37,-5.0,9.05,0.0897,-0.0492,0.9813
38,-5.0,8.68,0.0927,-0.0493,0.9809
39,-5.0,8.33,0.0733,-0.0587,0.9805
40,15.0,8.5,0.0696,-0.0682,0.9799
41,5.0,8.41,0.0619,-0.0678,0.9795
42,15.0,8.57,0.0694,-0.0739,0.979
43,-5.0,8.26,0.0886,-0.0721,0.9785
44,5.0,8.18,0.0532,-0.074,0.978
45,15.0,8.33,0.0629,-0.0683,0.9773
46,5.0,8.26,0.0415,-0.0764,0.9767
47,-5.0,7.98,0.0584,-0.0681,0.9763
48,-5.0,7.71,0.063,-0.0727,0.9759
49,105.0,9.69,0.0599,-0.0644,0.9752
50,5.0,9.6,0.0736,-0.0718,0.9748
51,5.0,9.51,0.074,-0.0709,0.9744
52,5.0,9.42,0.0812,-0.0737,0.9739
53,25.0,9.72,0.0645,-0.0684,0.9733
54,35.0,10.19,0.0639,-0.0673,0.9724
55,-5.0,9.91,0.0707,-0.0637,0.972
56,5.0,9.82,0.0638,-0.0693,0.9714
57,15.0,9.91,0.0788,-0.0778,0.9707
58,5.0,9.83,0.0627,-0.0738,0.9703
59,5.0,9.75,0.0514,-0.0765,0.9698
60,-5.0,9.5,0.0696,-0.074,0.969
61,-5.0,9.26,0.0713,-0.0823,0.9686
62,-5.0,9.03,0.0758,-0.0804,0.9682
63,45.0,9.6,0.0567,-0.0786,0.9675
